support,itemsets
0.16182655718005207,frozenset({'would'})
0.14159823753254555,frozenset({'well'})
0.10574804726617264,frozenset({'best'})
0.2749849789705588,frozenset({'one'})
0.2323252553575005,frozenset({'read'})
0.11436010414580412,frozenset({'much'})
0.11135589825756058,frozenset({'year'})
0.2257160024033647,frozenset({'like'})
0.18746244742639695,frozenset({'time'})
0.12737832966152612,frozenset({'work'})
0.20448628079311035,frozenset({'good'})
0.1177648708191468,frozenset({'stori'})
0.3316643300620869,frozenset({'book'})
0.19347085920288404,frozenset({'love'})
0.13619066693370718,frozenset({'use'})
0.24534348087322252,frozenset({'great'})
0.13699178850390548,frozenset({'make'})
0.16683356699379132,frozenset({'get'})
0.10354496294812737,frozenset({'look'})
0.13378730222311236,frozenset({'realli'})
0.11956739435209293,frozenset({'first'})
0.1223713198477869,frozenset({'movi'})
0.11896655317444423,frozenset({'recommend'})
0.18165431604245943,"frozenset({'book', 'read'})"
